Japanese,Hiragana,English
身内,みうち,Relatives
肉親,にくしん,immediate family
配偶者,はいぐうしゃ,spouse
家系,かけい,family lineage
おふくろ,おふくろ,Mom
おやじ,おやじ,Father
よこす,よこす,send
女房,にょうぼう,wife
ていしゅ,ていしゅ,husband
ぬくもり,ぬくもり,warmth
授かる,さずかる,receive
名付ける,なづける,name
すやすや,すやすや,sleeping soundly
しぐさ,しぐさ,gesture
愛しい,いとしい,adorable
なつく,なつく,be attached
ねだる,ねだる,Beg
すねる,すねる,sulk
指図する,さしずする,give instructions
横取りする,よこどりする,steal
反発する,はんぱつする,repulse
家出する,いえでする,run away from home
ぎくしゃく,ぎくしゃく,jerky
言い返す,いいかえす,retort
言い張る,いいはる,insist
門限,もんげん,curfew
さんざん,さんざん,A lot
顧みる,かえりみる,consider
さも,さも,as if
いかにも,いかにも,Indeed
